Kategorie,Alternativer Kategoriename,Name,Alternativer name,Beschreibung,Art der Herausforderung 1,Herausforderungsopt. 2,Herausforderungsopt. 3,Kriterium 1,Kriterium 2,Kriterium 3,Material 1,Material 2,Minuten,Wiederholungen,Bewertung,Ergebnistyp,Token-Belohnungssystem
kreativität,,Dokumentation,Dokumentation,Gestalte ein Fotoalbum mit Bildern aus deinem Corona-Alltag,Selbstherausforderung,,,geschafft_ja_nein,,,Smartphone,,,,Ja/Nein,,
kreativität,,Das Chaos hat ein Ende!,Das Chaos hat ein Ende!,Sortiere die Bilder auf deinem Smartphone oder deiner Festplatte,Selbstherausforderung,,,geschafft_ja_nein,,,Smartphone,Festplatte,Kamera,,Ja/Nein,,
kreativität,,Veranstalte ein Krimidinner online,Sherlock Holmes,Veranstalte ein Krimidinner online. Versende die Rollen und trefft euch über eine Video Konferenz.,Fremdherausforderung,Gemeinsamstark,,Qualität,,,Krimidinner,,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,,Erweitere deinen Horizont (erlerne eine Fähigkeit über ein YouTube Video),,Erlerne eine neue Fähigkeit durch ein z.B. Youtube Video oder durch andere.,Selbstherausforderung,,,geschafft_ja_nein,,,Youtube,,,,Ja/Nein,,
Wissensvermittlung,Know-how,Multiple Choice Fragen,,,,,,,,,,,,,Ja/Nein,,
Wissensvermittlung,,Durchführen von kleinen Experimenten,Daniel Düsentrieb,,,,,,,,,,,,Ja/Nein,,
Bewegung,Move move move,Sit ups,I like to move it!,,,,,,,,,,,,Ja/Nein,,
Bewegung,,Liegestütze,Push it up!,,,,,,,,,,,,Ja/Nein,,
Bewegung,,Plank,,Halte den Unterarmstüz solange du kannst,Fremdherausforderung,,,Zeit,,,,,solange wie möglich,,,,
Bewegung,,Squads,,,,,,,,,,,,,,,
Bewegung,,Jumping Jack’s,Jack's best!,Mach in einer Minute so viele Jumping Jack's (Hampelmänner) wie möglich! Zähle deine Wiederholungen!,Fremdherausforderung,Selbstherausforderung,,Wiederholungen,,,,,1,So viele wie möglich,die Meisten Wdh. gewinnen,Stückzahl,
Bewegung,,Burpees,Holter-Di-Polter: Die Burpee Challenge,"Mach in einer Minute so viele Burpees wie Möglich! Zähle deine Wiederholungen! Wer seine Nachbarn liebt, legt eine Matte unter.",Fremdherausforderung,Selbstherausforderung,,Wiederholungen,,,Gymnastikmatte,,1,So viele wie möglich,die Meisten Wdh. gewinnen,Stückzahl,
